"","ENTREZID","SYMBOL"
"1","19401","Rara"
"2","27409","Abcg5"
"3","13082","Cyp26a1"
"4","13088","Cyp2b10"
"5","18670","Abcb4"
"6","13122","Cyp7a1"
"7","18671","Abcb1a"
"8","218772","Rarb"
"9","13120","Cyp4b1"
"10","18171","Nr1i2"
"11","26874","Abcd2"
"12","13081","Cyp24a1"
"13","22259","Nr1h3"
"14","22337","Vdr"
"15","11307","Abcg1"
"16","12355","Nr1i3"
"17","13124","Cyp8b1"
"18","76408","Abcc3"
"19","11303","Abca1"
"20","13106","Cyp2e1"
"21","19016","Pparg"
"22","19411","Rarg"
"23","19015","Ppard"
"24","12780","Abcc2"
"25","13077","Cyp1a2"
"26","20186","Nr1h4"
"27","19013","Ppara"
"28","19299","Abcd3"
"29","27413","Abcb11"
"30","13115","Cyp27b1"
